"ID","liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","instrumentalness","audio_mode","song_popularity"
1,0.283,-9.148,0.694,165013,4,0.689,0.654,132.666,0.243,0.0322,11,0.000843,1,52
2,0.501,-11.648,0.39,210853,4,0.242,0.302,88.009,0.861,0.17,1,0.0945,1,55
3,0.227,-4.589,0.737,224613,4,0.498,0.704,74.862,0.214,0.127,5,0.000147,0,91
4,0.0547,-6.082,0.745,202375,4,0.453,0.815,100.613,0.0134,0.144,0,1.05e-05,1,37
5,0.136,-2.949,0.542,255626,4,0.374,0.905,153.398,0.00172,0.054,9,0.0104,1,81
6,0.109,-7.693,0.6,196333,5,0.622,0.65,124.303,0.192,0.0788,4,6.82e-06,1,60
7,0.487,-5.829,0.604,174306,4,0.648,0.831,96.947,0.00118,0.0313,7,0.000257,0,25
8,0.0863,-4.97,0.543,222386,4,0.69,0.948,151.936,0.00122,0.0569,11,0.0397,1,35
9,0.552,-6.977,0.593,145542,4,0.376,0.671,112.502,0.103,0.289,1,0,1,85
10,0.0691,-6.028,0.624,125906,4,0.811,0.474,80.548,0.896,0.0355,1,0,1,33
11,0.103,-19.502,0.35,221294,4,0.137,0.266,81.031,0.986,0.0307,6,0.891,0,50
12,0.205,-6.091,0.715,239240,4,0.963,0.97,79.504,0.0644,0.0648,0,0.000156,1,69
13,0.0492,-5.582,0.835,267080,4,0.642,0.669,100.302,0.167,0.0643,6,6.92e-05,0,79
14,0.129,-5.58,0.765,241813,4,0.284,0.495,97.04,0.199,0.0361,11,0.0036,0,64
15,0.107,-8.825,0.478,185286,4,0.215,0.702,84.422,0.218,0.104,11,0.19,1,1
16,0.103,-8.216,0.74,204666,4,0.35,0.443,187.477,0.0172,0.264,1,0,1,36
17,0.0858,-7.559,0.83,260666,4,0.559,0.417,105.765,0.57,0.0423,8,0,1,58
18,0.263,-4.123,0.555,215899,4,0.458,0.91,153.576,0.0442,0.0399,3,5.61e-05,1,22
19,0.0835,-10.788,0.68,216506,4,0.6,0.408,152.038,0.689,0.0554,7,0.00303,0,23
20,0.0624,-10.541,0.843,145659,4,0.34,0.356,132.04,0.535,0.115,3,0.00105,1,5
21,0.0702,-8.558,0.677,241599,4,0.796,0.569,94.119,0.599,0.0317,0,0.000376,1,78
22,0.0536,-8.907,0.59,290293,4,0.351,0.56,84.689,0.55,0.307,3,0.000111,1,42
23,0.233,-3.782,0.746,166138,4,0.751,0.877,166.036,0.0375,0.0666,1,0.000833,1,11
24,0.118,-6.94,0.268,179200,4,0.0949,0.459,64.177,0.378,0.0346,7,0,1,74
25,0.106,-7.132,0.592,176075,4,0.619,0.571,104.95,0.172,0.174,1,0,1,74
26,0.098,-14.805,0.899,222360,4,0.744,0.59,111.503,0.0113,0.102,7,4.09e-06,1,50
27,0.371,-11.541,0.567,287400,4,0.535,0.867,146.008,0.00384,0.0484,2,0.85,1,55
28,0.0853,-6.919,0.731,256800,4,0.425,0.576,75.066,0.405,0.0299,8,0.000685,0,26
29,0.0507,-6.49,0.749,211935,4,0.847,0.967,140.02,0.000361,0.0323,6,0.718,0,0
30,0.129,-6.297,0.552,225533,4,0.786,0.886,87.167,0.00129,0.0264,5,0,0,2
31,0.162,-8.03,0.555,207813,4,0.25,0.502,129.974,0.0243,0.0349,7,0,1,4
32,0.0974,-9.858,0.865,175200,4,0.258,0.525,141.866,0.145,0.347,11,0,1,62
33,0.244,-9.671,0.691,199533,4,0.946,0.581,136.822,0.504,0.037,1,0.000179,0,41
34,0.342,-7.033,0.782,268933,4,0.243,0.436,82.994,0.331,0.155,2,1.3e-05,1,77
35,0.101,-10.273,0.471,209573,4,0.213,0.179,126.555,0.921,0.0357,9,0.0026,0,65
36,0.176,-6.503,0.698,264853,4,0.378,0.783,150.039,0.016,0.266,2,0.000749,0,52
37,0.175,-7.358,0.818,223240,4,0.676,0.625,152.869,0.00297,0.0567,11,0.00156,0,58
38,0.0864,-8.417,0.728,176702,4,0.445,0.607,129.938,0.133,0.104,1,0,1,76
39,0.0789,-6.448,0.374,197922,4,0.705,0.559,107.992,0.0505,0.064,7,4.96e-05,0,62
40,0.15,-5.605,0.799,211825,4,0.815,0.882,140.103,0.0193,0.0819,1,0.00247,1,48
41,0.154,-13.875,0.394,285866,4,0.0932,0.0826,131.512,0.946,0.0392,7,0.00297,1,64
42,0.185,-5.991,0.831,213309,4,0.737,0.582,123.07,0.0119,0.0394,2,4.91e-06,1,98
43,0.12,-6.84,0.901,189493,4,0.341,0.63,90.045,0.0998,0.162,11,0.000635,1,46
44,0.288,-6.443,0.739,159466,4,0.767,0.735,100.202,0.00935,0.0345,2,0.783,1,10
45,0.0629,-5.436,0.527,210226,4,0.963,0.978,141.169,0.00124,0.109,8,4.75e-05,0,73
46,0.591,-2.605,0.719,198093,4,0.808,0.907,119.006,0.135,0.0326,6,0,0,56
47,0.232,-7.608,0.447,234904,4,0.293,0.468,153.727,0.054,0.0425,0,0.0106,1,55
48,0.0868,-21.672,0.172,186400,5,0.0417,0.103,104.053,0.949,0.0408,0,0.967,1,55
49,0.399,-3.887,0.499,276040,4,0.26,0.972,139.865,0.0386,0.267,9,0,0,73
50,0.204,-3.686,0.725,204022,4,0.859,0.834,120.026,0.0784,0.037,5,1.27e-05,0,80
51,0.211,-15.584,0.643,159102,1,0.302,0.213,137.709,0.891,0.0324,5,0.0628,1,62
52,0.259,-12.111,0.901,137493,4,0.329,0.456,109.972,0.424,0.33,2,0.000265,1,99
53,0.116,-5.025,0.69,210090,4,0.544,0.622,121.993,0.278,0.0622,5,0,0,84
54,0.0941,-6.221,0.83,275560,4,0.376,0.585,101.031,1e-04,0.0468,2,0.000548,1,56
55,0.091,-5.046,0.699,193761,4,0.484,0.583,121.318,0.05,0.263,6,0.00029,0,68
56,0.108,-8.524,0.685,169251,4,0.437,0.203,89.646,0.829,0.0668,9,0,0,68
57,0.287,-4.813,0.743,231173,4,0.538,0.88,130.027,0.000176,0.0414,4,0,0,77
58,0.121,-5.534,0.368,209520,4,0.114,0.869,172.202,0.000307,0.0828,0,0.838,1,58
59,0.659,-6.288,0.618,404413,4,0.6,0.733,120.567,0.0565,0.0373,2,0.293,1,58
60,0.605,-6.773,0.593,241013,4,0.473,0.833,147.996,0.204,0.0504,3,0.533,1,59
61,0.119,-8.585,0.637,207800,4,0.137,0.444,141.922,0.652,0.0276,2,1.63e-06,1,34
62,0.411,-9.397,0.497,222733,4,0.138,0.447,95.769,0.0613,0.0266,6,0,1,72
63,0.724,-4.802,0.262,198867,4,0.468,0.881,127.947,0.000924,0.0333,2,0.000938,1,44
64,0.105,-4.757,0.604,275080,4,0.777,0.786,177.833,0.0091,0.106,2,0,1,45
65,0.101,-6.431,0.774,230761,4,0.756,0.486,128.038,0.0129,0.0311,10,0,0,89
66,0.0838,-6.942,0.77,238568,4,0.0515,0.444,99.16,0.151,0.0399,7,0,1,51
67,0.18,-3.212,0.615,180853,4,0.437,0.75,129.02,0.0812,0.0485,6,1.17e-06,1,67
68,0.104,-11.587,0.591,257266,4,0.36,0.513,150.036,0.146,0.0858,4,0,0,60
69,0.0968,-5.904,0.71,256622,4,0.458,0.839,122.018,0.0183,0.149,6,4.89e-06,0,65
70,0.485,-6.989,0.66,160306,4,0.324,0.733,124.012,0.0199,0.0333,0,0.00119,1,51
71,0.119,-8.098,0.832,160826,4,0.667,0.531,78.926,0.0017,0.0448,11,1.49e-05,0,48
72,0.11,-7.335,0.509,252866,4,0.244,0.559,75.089,0.385,0.0572,7,0,1,78
73,0.0717,-6.518,0.565,224280,4,0.229,0.541,84.729,0.735,0.412,6,0,0,24
74,0.119,-6.246,0.515,198960,4,0.892,0.603,135.974,0.639,0.0318,10,0,1,37
75,0.203,-9.545,0.441,208226,3,0.105,0.514,174.118,0.65,0.0449,2,0.262,1,79
76,0.108,-6.089,0.614,202226,4,0.582,0.504,96.737,0.551,0.199,7,0.852,0,40
77,0.349,-8.455,0.853,308946,4,0.171,0.441,113.403,0.0248,0.075,5,0.0706,1,57
78,0.17,-4.876,0.718,270883,4,0.888,0.847,91.158,0.485,0.29,2,0,1,19
79,0.297,-9.196,0.829,303433,4,0.716,0.522,130.937,0.567,0.116,9,1.04e-06,1,56
80,0.159,-5.399,0.519,192826,4,0.243,0.553,99.909,0.188,0.0263,6,0,0,51
