"song_popularity","liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","audio_mode","es_instrumental","valence_binned"
52,0.283,-9.148,0.694,165013,"4",0.689,0.654,132.666,0.243,0.0322,"11","1",0,"valence_alta"
55,0.501,-11.648,0.39,210853,"4",0.242,0.302,88.009,0.861,0.17,"1","1",0,"valence_baja"
91,0.227,-4.589,0.737,224613,"4",0.498,0.704,74.862,0.214,0.127,"5","0",0,"valence_media"
37,0.0547,-6.082,0.745,202375,"4",0.453,0.815,100.613,0.0134,0.144,"0","1",0,"valence_media"
81,0.136,-2.949,0.542,255626,"4",0.374,0.905,153.398,0.00172,0.054,"9","1",0,"valence_media"
60,0.109,-7.693,0.6,196333,"5",0.622,0.65,124.303,0.192,0.0788,"4","1",0,"valence_media"
25,0.487,-5.829,0.604,174306,"4",0.648,0.831,96.947,0.00118,0.0313,"7","0",0,"valence_media"
35,0.0863,-4.97,0.543,222386,"4",0.69,0.948,151.936,0.00122,0.0569,"11","1",0,"valence_alta"
85,0.552,-6.977,0.593,145542,"4",0.376,0.671,112.502,0.103,0.289,"1","1",0,"valence_media"
33,0.0691,-6.028,0.624,125906,"4",0.811,0.474,80.548,0.896,0.0355,"1","1",0,"valence_alta"
50,0.103,-19.502,0.35,221294,"4",0.137,0.266,81.031,0.986,0.0307,"6","0",1,"valence_baja"
69,0.205,-6.091,0.715,239240,"4",0.963,0.97,79.504,0.0644,0.0648,"0","1",0,"valence_alta"
79,0.0492,-5.582,0.835,267080,"4",0.642,0.669,100.302,0.167,0.0643,"6","0",0,"valence_media"
64,0.129,-5.58,0.765,241813,"4",0.284,0.495,97.04,0.199,0.0361,"11","0",0,"valence_baja"
1,0.107,-8.825,0.478,185286,"4",0.215,0.702,84.422,0.218,0.104,"11","1",1,"valence_baja"
36,0.103,-8.216,0.74,204666,"4",0.35,0.443,187.477,0.0172,0.264,"1","1",0,"valence_media"
