"song_popularity","song_duration_ms_log_scaled","acousticness_log_scaled","liveness_log_scaled","speechiness_log_scaled","instrumentalness_log_scaled","es_instrumental","audio_mode","loudness","danceability","audio_valence","energy","tempo","key_1","key_2","key_3","key_4","key_5","key_6","key_7","key_8","key_9","key_10","key_11","time_signature_1","time_signature_3","time_signature_4","time_signature_5","valence_binned_valence_media","valence_binned_valence_alta"
52,-0.923235227590948,-0.917502338498947,0.814100070096083,-0.713051359112808,-0.336105316116387,0,"1",-9.148,0.694,0.689,0.654,113.502,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
55,-0.499889787487095,1.97083601341922,2.22744365964447,0.726879770893044,0.199161702527726,0,"1",-5.964,0.39,0.242,0.59,159.81,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91,1.1844675383576,-0.146478375034112,0.412164110467245,0.296611151018136,-0.310982204884405,0,"1",-4.589,0.686,0.498,0.704,103.508,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
37,-0.140778811064627,-0.917971317543516,-0.950612788011912,0.468647957919109,-0.360088705797106,0,"1",-6.082,0.745,0.453,0.815,101.654,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
81,-0.835338428819418,-0.973068901176155,-0.281841504094889,-0.472892929706534,-0.296067450021222,0,"1",-1.829,0.542,0.374,0.905,153.398,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
60,-0.256979926553295,-0.968373960644722,-0.498481600931593,-0.205652231848656,-0.360111500003733,0,"1",-7.693,0.6,0.622,0.724,124.303,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
25,-0.713192682232615,-0.975631733917466,3.56848438683909,-0.723074862411633,-0.356011255352098,0,"0",-5.829,0.604,0.399,0.7,96.947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,0.220711928926793,-0.97544184705674,-0.684740889950065,-0.441320203381932,-0.119002514391055,0,"1",-4.97,0.543,0.842,0.849,151.936,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
85,-1.40459569659553,-0.515295372810249,2.52836587865025,1.83991595316657,-0.360153743836706,0,"1",-6.977,0.909,0.92,0.671,112.502,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33,-1.96021313753018,2.05939347783584,-0.531024281944924,-0.676373138807538,-0.360153743836706,0,"1",-6.028,0.624,0.811,0.474,80.548,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
50,-0.995468674011752,2.2798132588907,-0.547339824760986,-0.729762058767709,3.5861633149774,1,"1",-19.502,0.35,0.137,0.266,176.192,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
69,0.500775990816331,-0.68460432318903,0.249218960308608,-0.355749205640814,-0.359187534680617,0,"1",-3.376,0.715,0.963,0.97,79.504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
79,0.922797062316533,-0.968231762092068,-0.789814148763364,-0.361146243023805,-0.359725124764983,0,"0",-5.582,0.835,0.477,0.669,125.846,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
64,0.541787207350519,-0.616771557348824,-0.337509001591052,-0.669716931584797,-0.360153743836706,0,"0",-5.58,0.765,0.284,0.597,97.04,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,-0.478997267886782,-0.0439228847526738,-0.514738242839019,0.059678384143963,-0.326117762368795,0,"1",-10.767,0.719,0.215,0.389,84.422,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36,-0.339103706701464,-0.900182565497911,-1.1903071081261,1.61486308611602,-0.360153743836706,0,"0",-8.216,0.617,0.35,0.443,137.315,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
58,0.829605369396797,1.4816917408546,-0.688887189535924,-0.601160955616995,-0.360153743836706,0,"1",-7.559,0.83,0.559,0.417,128.789,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
22,0.107218561550779,-0.77567031316131,0.672601838673867,-0.701924378403239,-0.359806262804709,0,"1",-5.663,0.581,0.458,0.91,95.01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
23,0.117981967439847,1.50991550623461,-0.707984792685304,-0.457640092619847,-0.360070743030328,0,"1",-10.788,0.863,0.6,0.408,127.964,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,-1.40151503852429,1.05551157596303,-0.885100653486679,0.24551799400295,-0.353653317858522,0,"1",-10.541,0.843,0.34,0.33,132.04,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
78,0.538392924456703,-0.640159749062341,-0.819220042791508,-0.71861889257164,-0.357825188123041,0,"0",-5.114,0.733,0.796,0.912,119.972,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
42,1.24231005505327,1.10173107915843,-0.960010687539921,-0.71193817605736,-0.359466233393167,0,"1",-8.907,0.65,0.351,0.56,84.689,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
