"song_popularity","loudness","danceability","song_duration_ms","energy","acousticness","es_instrumental","audio_mode","key_1","key_2","key_3","key_4","key_5","key_6","key_7","key_8","key_9","key_10","key_11","time_signature_1","time_signature_3","time_signature_4","time_signature_5","valence_binned_valence_media","valence_binned_valence_alta"
52,-9.148,0.694,165013,0.654,0.0135,0,"1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
55,-5.964,0.39,184279,0.59,0.861,0,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91,-4.589,0.686,285946,0.704,0.192,0,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
37,-6.082,0.745,202375,0.815,0.0134,0,"1",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
81,-1.829,0.542,168840,0.905,0.00172,0,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
60,-7.693,0.6,196333,0.724,0.00271,0,"1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
25,-5.829,0.604,174306,0.7,0.00118,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,-4.97,0.543,222386,0.849,0.00122,0,"1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
85,-6.977,0.909,145542,0.671,0.103,0,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33,-6.028,0.624,125906,0.474,0.896,0,"1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
50,-19.502,0.35,161933,0.266,0.986,1,"1",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
69,-3.376,0.715,239240,0.97,0.0644,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
79,-5.582,0.835,267080,0.669,0.00274,0,"0",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
64,-5.58,0.765,241813,0.597,0.0797,0,"0",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,-10.767,0.719,185286,0.389,0.218,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36,-8.216,0.617,192172,0.443,0.0172,0,"0",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
58,-7.559,0.83,260666,0.417,0.679,0,"1",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
22,-5.663,0.581,215899,0.91,0.0442,0,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
23,-10.788,0.863,216506,0.408,0.689,0,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
