"song_popularity","danceability","energy","acousticness","es_instrumental"
52,0.694,0.654,0.0135,0
55,0.39,0.59,0.861,0
91,0.686,0.704,0.192,0
37,0.745,0.815,0.0134,0
81,0.542,0.905,0.00172,0
60,0.6,0.724,0.00271,0
25,0.604,0.7,0.00118,0
35,0.543,0.849,0.00122,0
85,0.909,0.671,0.103,0
33,0.624,0.474,0.896,0
50,0.35,0.266,0.986,1
69,0.715,0.97,0.0644,0
79,0.835,0.669,0.00274,0
64,0.765,0.597,0.0797,0
1,0.719,0.389,0.218,0
36,0.617,0.443,0.0172,0
58,0.83,0.417,0.679,0
22,0.581,0.91,0.0442,0
23,0.863,0.408,0.689,0
5,0.843,0.33,0.535,0
78,0.733,0.912,0.0744,0
42,0.65,0.56,0.55,0
11,0.746,0.877,0.0375,0
74,0.268,0.459,0.378,0
74,0.592,0.571,0.172,0
50,0.899,0.448,0.0113,0
55,0.567,0.867,0.00384,0
26,0.731,0.346,0.372,0
0,0.749,0.967,0.000361,1
2,0.552,0.886,0.0177,0
4,0.236,0.836,0.0243,1
62,0.865,0.525,0.145,0
41,0.691,0.581,0.504,0
77,0.782,0.436,0.331,0
65,0.471,0.179,0.921,0
52,0.698,0.783,0.016,0
58,0.757,0.625,0.00297,0
76,0.728,0.607,0.133,0
62,0.901,0.559,0.0835,0
48,0.813,0.882,0.0193,0
64,0.394,0.0826,0.946,0
98,0.653,0.67,0.0119,0
46,0.525,0.63,0.0998,0
10,0.739,0.926,0.00935,1
73,0.527,0.978,0.00124,0
56,0.734,0.907,0.135,0
55,0.464,0.468,0.054,0
55,0.172,0.103,0.949,1
73,0.499,0.727,0.0386,0
80,0.725,0.834,0.0784,0
62,0.643,0.213,0.891,1
99,0.901,0.428,0.0215,0
84,0.69,0.622,0.0351,0
56,0.83,0.539,0.14,0
68,0.699,0.583,0.05,0
68,0.529,0.203,0.829,0
77,0.743,0.703,0.715,0
58,0.368,0.869,0.000307,0
58,0.505,0.789,0.0565,1
59,0.593,0.902,0.0196,1
34,0.524,0.444,0.652,0
72,0.497,0.698,0.0613,0
44,0.262,0.881,0.065,0
45,0.41,0.786,0.0924,0
89,0.63,0.486,0.0129,0
51,0.77,0.699,0.151,0
67,0.615,0.797,0.0812,0
60,0.591,0.513,0.238,1
65,0.71,0.645,0.141,0
51,0.66,0.657,0.0199,0
48,0.667,0.95,0.0017,0
78,0.509,0.831,0.385,0
24,0.565,0.443,0.735,0
37,0.515,0.603,0.639,0
79,0.441,0.464,0.877,1
40,0.614,0.367,0.551,1
57,0.213,0.441,0.0248,0
19,0.718,0.847,0.485,0
56,0.701,0.594,0.567,0
51,0.519,0.642,0.188,0
53,0.805,0.644,0.0356,1
19,0.369,0.744,0.0218,1
65,0.839,0.473,0.641,0
46,0.646,0.506,0.184,0
67,0.687,0.917,0.109,0
79,0.52,0.379,0.968,0
65,0.574,0.656,0.208,0
37,0.629,0.551,0.117,0
60,0.66,0.927,0.461,0
68,0.329,0.306,0.739,0
16,0.636,0.9,0.293,0
68,0.781,0.98,0.0236,1
67,0.71,0.882,0.00777,0
53,0.673,0.84,0.126,0
70,0.625,0.54,0.0562,0
83,0.662,0.861,0.00394,0
43,0.462,0.725,0.322,0
87,0.755,0.625,0.49,0
55,0.416,0.949,0.313,0
42,0.593,0.829,0.0658,0
97,0.669,0.733,0.0175,0
67,0.554,0.907,0.0292,0
71,0.799,0.878,0.189,0
59,0.473,0.892,0.00187,0
73,0.539,0.884,0.382,0
90,0.643,0.529,0.268,0
59,0.677,0.792,0.208,0
59,0.676,0.868,5.62e-06,1
51,0.468,0.939,0.00101,0
39,0.489,0.64,0.817,0
47,0.564,0.665,0.169,0
77,0.629,0.901,0.141,0
49,0.606,0.758,0.000289,1
90,0.612,0.63,0.13,0
54,0.684,0.33,0.757,0
60,0.62,0.374,0.968,0
35,0.585,0.7,0.534,0
60,0.761,0.701,0.172,0
23,0.782,0.591,0.0275,0
79,0.53,0.714,0.0438,0
32,0.524,0.841,0.0415,0
91,0.858,0.615,0.00127,0
68,0.749,0.637,0.479,0
69,0.604,0.622,0.169,0
57,0.805,0.385,0.284,0
92,0.575,0.617,0.0558,0
28,0.674,0.439,0.077,0
63,0.528,0.381,0.768,0
66,0.669,0.457,0.815,0
34,0.507,0.951,0.00731,0
40,0.651,0.261,0.779,0
